,Source Account,Tweet Text,Date,Tweets Ago,Compound Sentiment,Positive Sentiment,Neutral Sentiment,Negative Sentiment
0,BBCNews,"RT @BBCRoryCJ: Uber + TfL met at a secret location - Uber says ""constructive"",  ""hope to have further discussions.. ..determined to make th…",Tue Oct 03 16:08:03 +0000 2017,0,0.4877,0.143,0.857,0.0
1,BBCNews,"RT @BBCNewsbeat: The government wants to give you cash if you return empty bottles to be recycled.

Would that change your habits?

https:/…",Tue Oct 03 15:59:02 +0000 2017,1,-0.2023,0.0,0.924,0.076
2,BBCNews,Boris Johnson: Let the British lion roar https://t.co/w6tydykA8p,Tue Oct 03 15:51:06 +0000 2017,2,0.0,0.0,1.0,0.0
3,BBCNews,"Tuition fee changes 'to save students £15,700' https://t.co/oBw6kCed9y",Tue Oct 03 15:21:53 +0000 2017,3,0.4939,0.314,0.686,0.0
4,BBCNews,Landfill search for airman to restart https://t.co/4s1qQPhUHJ,Tue Oct 03 15:21:50 +0000 2017,4,0.0,0.0,1.0,0.0
5,BBCNews,"""We are the party that believes in this country"" - @BorisJohnson https://t.co/PPlQcACTU8 #CPC17 https://t.co/u6tKuitPyK",Tue Oct 03 15:20:41 +0000 2017,5,0.4019,0.184,0.816,0.0
6,BBCNews,RT @BBCBreaking: Police to resume search of landfill site near Cambridge for missing airman Corrie Mckeague https://t.co/2Jyx2GqRKk,Tue Oct 03 15:19:50 +0000 2017,6,-0.296,0.0,0.879,0.121
7,BBCNews,"RT @BBCBreaking: US expels 15 Cuban diplomats, saying Cuba has failed to protect US diplomats from mystery acoustic attacks in Havana https…",Tue Oct 03 15:19:45 +0000 2017,7,-0.7351,0.088,0.612,0.299
8,BBCNews,"""It is time to be bold, to seize the opportunities"" - @BorisJohnson addresses #CPC17 https://t.co/PPlQcACTU8 https://t.co/LCymGNaC2i",Tue Oct 03 15:05:25 +0000 2017,8,0.6369,0.286,0.714,0.0
9,BBCNews,"""We must believe in global Britain"" - @BorisJohnson addresses #CPC17 https://t.co/PPlQcACTU8 https://t.co/asDxzxUvKo",Tue Oct 03 14:53:35 +0000 2017,9,0.0,0.0,1.0,0.0
10,BBCNews,"RT @BBCSport: England players Eniola Aluko and Lianne Sanderson will give evidence about the FA at a government inquiry.

https://t.co/siFO…",Tue Oct 03 14:21:11 +0000 2017,10,0.0,0.0,1.0,0.0
11,BBCNews,"Follow the latest news from #CPC17 in Manchester

https://t.co/NLDvY2vKhH https://t.co/88v43E7CUL",Tue Oct 03 13:46:32 +0000 2017,11,0.0,0.0,1.0,0.0
12,BBCNews,Scottish government backs ban on fracking https://t.co/LbtjsN5uMp,Tue Oct 03 13:40:23 +0000 2017,12,-0.5859,0.0,0.51,0.49
13,BBCNews,"RT @BBCNormanS: David Davis accuses unnamed EU officials of ""insulting, offensive"" briefing against him #cpc17",Tue Oct 03 13:39:05 +0000 2017,13,-0.6597,0.0,0.707,0.293
14,BBCNews,"UK aiming for ""a good deal"" on #Brexit but is ""ready for the alternative"" - Brexit Secretary David Davis #CPC17… https://t.co/BcC5Swt746",Tue Oct 03 13:38:59 +0000 2017,14,0.6369,0.224,0.776,0.0
15,BBCNews,Stourbridge stabbing: Aaron Barley admits murder https://t.co/jHuUbrMqxX,Tue Oct 03 13:25:05 +0000 2017,15,-0.5423,0.185,0.42,0.395
16,BBCNews,Jenna Miller 'killed by drivers in 70mph race' in Barry https://t.co/2KBhZg1mZw,Tue Oct 03 13:25:04 +0000 2017,16,-0.6705,0.0,0.69,0.31
17,BBCNews,RT @ChrisMasonBBC: Pensions campaigners outside #cpc17 https://t.co/laOJvg4oY9,Tue Oct 03 13:00:59 +0000 2017,17,0.0,0.0,1.0,0.0
18,BBCNews,RT @BBCScotlandNews: The UK government has formally invited @NicolaSturgeon to hold talks with the prime minister over Brexit https://t.co/…,Tue Oct 03 12:45:14 +0000 2017,18,0.0,0.0,1.0,0.0
19,BBCNews,"RT @BBCNormanS: Universal Credit heading towards ""near inevitable Christmas crisis"" unless Govt halts roll out warns @frankfieldteam",Tue Oct 03 12:45:05 +0000 2017,19,-0.4404,0.118,0.633,0.249
20,BBCNews,"RT @BBCNormanS: Liam Fox says BBC coverage ""trite and superficial"" after challenged over what he has achieved #WATO",Tue Oct 03 12:28:42 +0000 2017,20,-0.296,0.0,0.833,0.167
21,BBCNews,Conservative fears of a downward spiral — blog by @bbclaurak #CPC17 https://t.co/CYzdFDF5uF,Tue Oct 03 12:22:48 +0000 2017,21,-0.4215,0.0,0.763,0.237
22,BBCNews,"RT @BBCEngland: An imam accused of making Islamic State recruitment videos can be extradited to Spain, a court has rules https://t.co/OMLNU…",Tue Oct 03 12:15:19 +0000 2017,22,-0.296,0.0,0.896,0.104
23,BBCNews,"Rodney Bickerstaffe, ex-Unision general secretary, dies https://t.co/wmLUnNy82N",Tue Oct 03 12:04:58 +0000 2017,23,0.0,0.0,1.0,0.0
24,BBCNews,Teenager charged after Ellon Academy incident https://t.co/QuX8SPnIO6,Tue Oct 03 12:04:55 +0000 2017,24,-0.2023,0.0,0.769,0.231
25,BBCNews,"RT @daily_politics: Jacob Rees-Mogg confronted protestors, and one of them @ShabbirLakha faced Telegraph journalist @timothy_stanley on the…",Tue Oct 03 12:04:00 +0000 2017,25,-0.2023,0.0,0.899,0.101
26,BBCNews,"RT @DannyShawBBC: More on acid: Sulphuric acid will become ""regulated substance"" - you'll need Home Office licence to buy it.  Penalty: 2 y…",Tue Oct 03 11:59:41 +0000 2017,26,-0.4588,0.0,0.87,0.13
27,BBCNews,"RT @BBCBreaking: Sale of acids to people aged under 18 to be banned, UK Home Secretary @AmberRuddHR says https://t.co/QcJI0981Kd #CPC17 htt…",Tue Oct 03 11:39:36 +0000 2017,27,-0.4588,0.0,0.87,0.13
28,BBCNews,Sale of acids to under-18s to be banned https://t.co/fCVHJgMeyG,Tue Oct 03 11:38:28 +0000 2017,28,-0.4588,0.0,0.727,0.273
29,BBCNews,Former women's college fields all-male University Challenge team https://t.co/rBPdsNeHp6,Tue Oct 03 11:36:10 +0000 2017,29,0.0772,0.14,0.86,0.0
30,BBCNews,"RT @BBCDanielS: Amber Rudd acid announcements:
-new rules against carrying acid without a good reason
-sale of acid to under 18s banned htt…",Tue Oct 03 11:28:17 +0000 2017,30,-0.6604,0.0,0.787,0.213
31,BBCNews,Birmingham-based imam 'can be extradited' https://t.co/NwemD6u6wK,Tue Oct 03 11:25:23 +0000 2017,31,0.0,0.0,1.0,0.0
32,BBCNews,"RT @BBCBreaking: MEPs vote to urge EU not to open next phase of #Brexit talks unless there is a ""major breakthrough"" https://t.co/7jDUx0yznb",Tue Oct 03 10:55:50 +0000 2017,32,0.0,0.0,1.0,0.0
33,BBCNews,RT @VictoriaLIVE: 1.4 million Americans have been killed by guns between 1968-2011 (Source: Politifact) https://t.co/WdvahKNmYW,Tue Oct 03 10:50:45 +0000 2017,33,-0.6705,0.0,0.757,0.243
34,BBCNews,"Glossy prospectuses and slick open evenings, but what should you look for when visiting secondary schools?

https://t.co/hf51VVuBrt",Tue Oct 03 10:43:15 +0000 2017,34,0.0,0.0,1.0,0.0
35,BBCNews,RT @BBCBreaking: British comedian Steve Coogan receives damages and apology from Mirror Group Newspapers over phone hacking https://t.co/S2…,Tue Oct 03 10:13:54 +0000 2017,35,-0.0258,0.175,0.691,0.134
36,BBCNews,"RT @BBCNewsnight: ""Your disgusting views are not welcome here."" Watch as @Jacob_Rees_Mogg spars with a protester in Manchester #CPC17 https…",Tue Oct 03 10:10:42 +0000 2017,36,-0.7077,0.0,0.743,0.257
37,BBCNews,"RT @BBCSport: Mark Sampson should have been sacked years ago, says the FA chairman https://t.co/pZFIriVewu https://t.co/qqnZXVwQqi",Tue Oct 03 10:09:51 +0000 2017,37,0.0,0.0,1.0,0.0
38,BBCNews,"RT @BBCNormanS: Tory member shuffling out of cpc#17 conference hall tells me - ""We've  got to take down Boris"" #Bojobacklssh",Tue Oct 03 09:53:36 +0000 2017,38,0.0,0.0,1.0,0.0
39,BBCNews,"RT @VictoriaLIVE: Health Secretary's pledge for nurses
▪️ Increase in training places
▪️ New flexible working options
▪️ First refusal on n…",Tue Oct 03 09:53:29 +0000 2017,39,0.4939,0.174,0.826,0.0
40,BBCNews,Millions of metres of dangerous cable 'in homes across UK' https://t.co/RCJsitmdm3,Tue Oct 03 09:53:16 +0000 2017,40,-0.4767,0.0,0.763,0.237
41,BBCNews,"Jeremy Hunt to 150,000 EU workers in health system: ""We want you to stay"" after #Brexit

https://t.co/PPlQcACTU8… https://t.co/RMofqycQOR",Tue Oct 03 09:50:57 +0000 2017,41,0.0772,0.071,0.929,0.0
42,BBCNews,"Number of training places for nurses will go up by 25%, Health Secretary Jeremy Hunt tells #CPC17… https://t.co/rPXZEYn8ZG",Tue Oct 03 09:42:55 +0000 2017,42,0.0772,0.071,0.929,0.0
43,BBCNews,"RT @VictoriaLIVE: 'The Government needs to adopt the situation in Germany, where pregnant women and new mums cannot be made redundant' - @M…",Tue Oct 03 09:31:12 +0000 2017,43,0.1779,0.075,0.925,0.0
44,BBCNews,RT @BBCLookNorth: Obese patients in West Yorkshire could be asked to lose weight before surgery: https://t.co/Oakx5tcOBj https://t.co/UnT7J…,Tue Oct 03 09:18:11 +0000 2017,44,-0.4019,0.0,0.856,0.144
45,BBCNews,"RT @VictoriaLIVE: ""It's absolutely disgraceful and irresponsible""

Retailer Amazon criticised over anorexia/bulimia hoodie: 
https://t.co/K…",Tue Oct 03 09:11:59 +0000 2017,45,-0.6444,0.091,0.589,0.32
46,BBCNews,"Cyber-security: More than 1,000 attacks reported in centre's first year https://t.co/vNL83B9DvS",Tue Oct 03 09:09:47 +0000 2017,46,-0.4877,0.0,0.76,0.24
47,BBCNews,RT @BBCLookNorth: North Yorkshire fracking protester charged with assaulting police officer: https://t.co/wrfDfizvOd https://t.co/RSr28mGLqc,Tue Oct 03 08:58:13 +0000 2017,47,-0.6249,0.0,0.683,0.317
48,BBCNews,RT @VictoriaLIVE: Lucas Bruch had to hide behind a car when the Las Vegas gunman opened fire. He still supports the right to own a gun thou…,Tue Oct 03 08:57:07 +0000 2017,48,-0.4588,0.083,0.7,0.217
49,BBCNews,"RT @BBCArchive: ""Rock n Roll is pretty universal."" Tom Petty speaking to Bob Harris at The Whisky, Los Angeles in 1977 https://t.co/4ecb3Cg…",Tue Oct 03 08:56:52 +0000 2017,49,0.34,0.133,0.792,0.075
50,BBCNews,RT @BBCParliament: EU Commission's @JunckerEU and Michel Barnier update MEPs on state of Brexit talks https://t.co/jFISQcItkv https://t.co/…,Tue Oct 03 08:30:36 +0000 2017,50,0.0,0.0,1.0,0.0
51,BBCNews,Monarch chief Andrew Swaffield 'devastated' at closure https://t.co/fbzv7O2Ntf,Tue Oct 03 07:51:47 +0000 2017,51,0.0,0.0,1.0,0.0
52,BBCNews,"RT @BBCWorld: Today Business Live is asking... If you had £1000, what would you invest in? Let us know, use #BBCBizLive https://t.co/x5KbZq…",Tue Oct 03 07:32:34 +0000 2017,52,0.0,0.0,1.0,0.0
53,BBCNews,"RT @BBCNormanS: ""There is a long term job done to be here"" - Theresa May.@BBCr4today AKA.... I'm not going anywhere",Tue Oct 03 07:30:16 +0000 2017,53,0.0,0.0,1.0,0.0
54,BBCNews,"RT @BBCr4today: Is Grenfell Tower a monument to injustice, @bbcnickrobinson asks the PM. 

""We need to find out exactly what happened,"" she…",Tue Oct 03 07:25:28 +0000 2017,54,-0.5719,0.0,0.844,0.156
55,BBCNews,RT @BBCNormanS: Brexit transition period cd be less than two years in some areas - PM @BBCr4today,Tue Oct 03 07:23:32 +0000 2017,55,0.0,0.0,1.0,0.0
56,BBCNews,RT @rosschawkins: The Prime Minister: Of course the Prime Minister is in charge,Tue Oct 03 07:17:34 +0000 2017,56,0.0,0.0,1.0,0.0
57,BBCNews,RT @ChrisMasonBBC: PM tells @BBCr4today it's important to have 'a range of voices around the table.',Tue Oct 03 07:17:25 +0000 2017,57,0.2023,0.107,0.893,0.0
58,BBCNews,RT @BBCNormanS: Am now told Theresa May will not be in hall for Boris speech ..... #CPC17,Tue Oct 03 07:17:23 +0000 2017,58,0.0,0.0,1.0,0.0
59,BBCNews,Theresa May: I don't want a cabinet of 'yes' men https://t.co/pGbzM3mabE,Tue Oct 03 07:16:06 +0000 2017,59,-0.0572,0.0,0.867,0.133
60,BBCNews,RT @rosschawkins: Is Boris' aim was to make sure the PM was asked about Boris in every broadcast interview for the entire conference all is…,Tue Oct 03 06:51:41 +0000 2017,60,0.3182,0.087,0.913,0.0
61,BBCNews,"Morning briefing: Reaction to Las Vegas killings, Boris Johnson to address Conservatives, Musician Tom Petty dies https://t.co/OHiUyZbSlD",Tue Oct 03 06:50:11 +0000 2017,61,-0.743,0.0,0.704,0.296
62,BBCNews,Theresa May asked if she agrees with Boris Johnson's #Brexit red lines. PM says cabinet focused on getting best dea… https://t.co/Y1BuW5Oh04,Tue Oct 03 06:42:46 +0000 2017,62,0.8225,0.323,0.677,0.0
63,BBCNews,"RT @BBCNormanS: There needs to be ""degree of flexibility"" in public sector pay but must be affordable says PM. Not sounding like big hike a…",Tue Oct 03 06:20:10 +0000 2017,63,0.5789,0.176,0.782,0.043
64,BBCNews,RT @iainjwatson: the PM tells @bbcbreakfast there will be 'flexibility' on the pay cap but 'everything needs to be affordable' https://t.co…,Tue Oct 03 06:16:45 +0000 2017,64,-0.0516,0.0,0.943,0.057
65,BBCNews,"RT @BBCNormanS: Outcome of Govt's 'race audit' will make ""uncomfortable  reading"" says Theresa May @BBCBreakfast",Tue Oct 03 06:15:02 +0000 2017,65,-0.3818,0.0,0.843,0.157
66,BBCNews,"RT @bbc5live: Affected by the #Monarch collapse?

Chair of the @UK_CAA, Dame Deirdre Hutton, has the latest travel information for anyone s…",Tue Oct 03 06:10:53 +0000 2017,66,-0.5859,0.0,0.806,0.194
67,BBCNews,"RT @BBCEngland: Economic migrants are living in administrative limbo for up to two years due to Home Office delays, figures show https://t.…",Tue Oct 03 06:10:35 +0000 2017,67,0.0,0.0,1.0,0.0
68,BBCNews,Online betting: More addicts struggling with mobile sites https://t.co/9x7X446wL2,Tue Oct 03 06:06:58 +0000 2017,68,-0.4728,0.0,0.722,0.278
69,BBCNews,Sentence increase for viewing terror content online https://t.co/3TcsS853Yi,Tue Oct 03 03:02:49 +0000 2017,69,-0.2023,0.3,0.417,0.283
70,BBCNews,Theresa May vows to act on race review findings https://t.co/i5EKWQ6kP8,Tue Oct 03 02:40:37 +0000 2017,70,0.0,0.0,1.0,0.0
71,BBCNews,MSPs: Public sector 'must learn from Oxgangs wall collapse' https://t.co/tMxO0FC3Q8,Tue Oct 03 01:40:25 +0000 2017,71,-0.4939,0.0,0.738,0.262
72,BBCNews,Brexit: MEPs to criticise UK over approach to talks https://t.co/06KkbkrcCY,Tue Oct 03 01:40:25 +0000 2017,72,-0.4404,0.0,0.756,0.244
73,BBCNews,Police Scotland and Northumbria Police test terrorism response https://t.co/FG7c1HNLet,Tue Oct 03 01:40:25 +0000 2017,73,-0.6808,0.0,0.635,0.365
74,BBCNews,Flu vaccine: NHS patients wanted to test 'universal' jab https://t.co/sZ2lCajvXO,Tue Oct 03 00:31:15 +0000 2017,74,-0.3818,0.0,0.776,0.224
75,BBCNews,Kingdom of Us: Family's tragedy becomes Netflix film https://t.co/2UrxHk9Ecf,Tue Oct 03 00:10:25 +0000 2017,75,-0.6597,0.0,0.645,0.355
76,BBCNews,Home Office visa delays 'inhumane' https://t.co/9CL844ZbUl,Tue Oct 03 00:06:48 +0000 2017,76,0.0,0.0,1.0,0.0
77,BBCNews,Uber boss to hold talks with TfL on London licence https://t.co/Jh7ew0RcH0,Tue Oct 03 00:06:48 +0000 2017,77,0.0,0.0,1.0,0.0
78,BBCNews,"RT @BBCSport: Uncapped Harry Winks has been called up to the England squad ahead of qualifiers against Slovenia and Lithuania.
https://t.co…",Mon Oct 02 21:51:50 +0000 2017,78,0.0,0.0,1.0,0.0
79,BBCNews,"Tuesday's Times: ""'Act of pure evil'"" #tomorrowspaperstoday #bbcpapers (via @MsHelicat) https://t.co/6XtdjCc7C2",Mon Oct 02 21:43:37 +0000 2017,79,0.0,0.0,1.0,0.0
80,BBCNews,"Tuesday's Guardian ""'An act of pure evil': 58 shot dead in Las Vegas massacre"" #bbcpapers (via @MsHelicat) https://t.co/TMJk3u4Pw7",Mon Oct 02 21:43:22 +0000 2017,80,-0.6486,0.0,0.798,0.202
81,BBCNews,"Tuesday's Mirror: ""Monarch rescue is biggest since Dunkirk"" #tomorrowspaperstoday #bbcpapers (via @MsHelicat) https://t.co/TxLEfiJSfQ",Mon Oct 02 21:43:01 +0000 2017,81,0.5106,0.216,0.784,0.0
82,BBCNews,"Tuesday's Telegraph: ""'An act of pure evil'"" #tomorrowspaperstoday #bbcpapers (via @MsHelicat) https://t.co/VUrgWl4CzD",Mon Oct 02 21:42:39 +0000 2017,82,0.0,0.0,1.0,0.0
83,BBCNews,"Tuesday's i: ""America's worst ever shooting"" #tomorrowspaperstoday #bbcpapers (via @MsHelicat) https://t.co/uq7VtDSExx",Mon Oct 02 21:42:15 +0000 2017,83,-0.6249,0.0,0.709,0.291
84,BBCNews,"Tuesday's Metro: ""Pure Evil"" #tomorrowspaperstoday #bbcpapers (via @MsHelicat)https://t.co/m7tlorB3B8",Mon Oct 02 21:41:57 +0000 2017,84,-0.6597,0.0,0.614,0.386
85,BBCNews,"Tuesday's FT: ""Monarch Airlines collapse spurs 'biggest peacetime repatriation'"" #bbcpapers (via @MsHelicat) https://t.co/X9qec9LjMr",Mon Oct 02 21:41:32 +0000 2017,85,0.0,0.184,0.632,0.184
86,BBCNews,"Tuesday's Express: ""Don't make us sell our homes"" #tomorrowspaperstoday #bbcpapers (via @MsHelicat) https://t.co/7dkMZqZxHD",Mon Oct 02 21:40:47 +0000 2017,86,0.0,0.0,1.0,0.0
87,BBCNews,"Tuesday's Star: ""Machine-gun massacre"" #tomorrowspaperstoday #bbcpapers (via @MsHelicat) https://t.co/C5ZtarvW0q",Mon Oct 02 21:40:33 +0000 2017,87,0.0,0.0,1.0,0.0
88,BBCNews,"Tuesday's Sun: ""Run!"" #tomorrowspaperstoday #bbcpapers (via @MsHelicat) https://t.co/cH3Pht0Ff5",Mon Oct 02 21:40:17 +0000 2017,88,0.0,0.0,1.0,0.0
89,BBCNews,"Tuesday's Mail: ""What turned Mr Normal into a mass killer?"" #tomorrowspaperstoday #bbcpapers (via @MsHelicat) https://t.co/NirRlZaRtk",Mon Oct 02 21:39:39 +0000 2017,89,0.0,0.0,1.0,0.0
90,BBCNews,"Work with 'gorgeous EU women', MP Craig Mackinlay says https://t.co/CLDpxZGgZi",Mon Oct 02 21:09:53 +0000 2017,90,0.6124,0.308,0.692,0.0
91,BBCNews,RT @bbcweather: UK's longest-lasting patch of snow melts away: https://t.co/ou4QwgnNK1 Jo https://t.co/Hdc8kzkWBF,Mon Oct 02 20:35:38 +0000 2017,91,0.0,0.0,1.0,0.0
92,BBCNews,Amber Rudd accuses tech giants of 'sneering' at politicians https://t.co/6GmTMh2eyO,Mon Oct 02 20:15:15 +0000 2017,92,-0.34,0.0,0.789,0.211
93,BBCNews,RT @BBCBreaking: US President Donald Trump leads a minute's silence at White House for victims of Las Vegas mass shooting https://t.co/eAAt…,Mon Oct 02 18:47:49 +0000 2017,93,-0.3182,0.0,0.892,0.108
94,BBCNews,"Five-year-old girl 'misses' Muslim fosterers, court hears https://t.co/dYlRWR2Nx4",Mon Oct 02 18:31:42 +0000 2017,94,0.0,0.0,1.0,0.0
95,BBCNews,"Tax-funded NHS a Ponzi scheme, says minister Phillip Lee https://t.co/1YNopOVn34",Mon Oct 02 18:31:41 +0000 2017,95,0.0,0.0,1.0,0.0
96,BBCNews,"RT @BBCEngland: Flights returning 110,000 holidaymakers from overseas after Monarch's collapse will cost about £60m https://t.co/JfJLok6THg…",Mon Oct 02 18:23:33 +0000 2017,96,-0.4939,0.0,0.824,0.176
97,BBCNews,Monarch rescue flights 'to cost £60m' https://t.co/vInWaJp2FY,Mon Oct 02 18:07:42 +0000 2017,97,0.5106,0.355,0.645,0.0
98,BBCNews,"RT @BBCNewsround: If your children are upset by anything they've heard in the news recently, this advice might help https://t.co/cIFAHyFakC…",Mon Oct 02 17:41:38 +0000 2017,98,0.0258,0.116,0.773,0.112
99,BBCNews,Husband charged with detective's body in lake murder https://t.co/wzk9XxaSEC,Mon Oct 02 17:18:14 +0000 2017,99,-0.7579,0.0,0.519,0.481
100,CBSNews,The country music community is rallying together after Sunday night's shooting at a Las Vegas concert:… https://t.co/p5BZaJxTEe,Tue Oct 03 16:25:01 +0000 2017,0,0.0,0.0,1.0,0.0
101,CBSNews,"""You have thrown our budget a little out of whack, because we've spent a lot of money on Puerto Rico and that's fin… https://t.co/b3WLPsrkmq",Tue Oct 03 16:19:14 +0000 2017,1,0.0,0.0,1.0,0.0
102,CBSNews,"""They were here before, during, after the 1st hurricane and they continued today stay on the island,"" Congresswoman… https://t.co/Km22Em3IHq",Tue Oct 03 16:16:40 +0000 2017,2,0.0,0.0,1.0,0.0
103,CBSNews,"""Right from the beginning, this governor didn’t play politics,” Pres. Trump says of Puerto Rico's governor… https://t.co/blL2HWDsGZ",Tue Oct 03 16:13:29 +0000 2017,3,0.34,0.13,0.87,0.0
104,CBSNews,MOMENTS AGO: Pres. Trump begins briefings on hurricane recovery after arriving in Puerto Rico… https://t.co/7cjLBKDJk0,Tue Oct 03 16:10:48 +0000 2017,4,0.0,0.0,1.0,0.0
105,CBSNews,"""He was a sick man, a demented man -- lots of problems, I guess,"" Pres. Trump says of the Las Vegas gunman… https://t.co/fkQlpfwn4Z",Tue Oct 03 15:55:30 +0000 2017,5,-0.7184,0.0,0.75,0.25
106,CBSNews,"WATCH: Pres. Trump arrives in Puerto Rico, as he faces criticism over storm recovery on the island… https://t.co/X8H3OO8Nju",Tue Oct 03 15:54:46 +0000 2017,6,-0.4404,0.0,0.854,0.146
107,CBSNews,"JUST IN: Secy. Rex Tillerson says U.S. is working to ""ensure equity"" with Cuba by kicking out 15 of its diplomats… https://t.co/8D4Bl2PFnp",Tue Oct 03 15:45:35 +0000 2017,7,0.3818,0.11,0.89,0.0
108,CBSNews,"On Sunday night, Chris Bethel heard gunfire coming from below his room at the Mandalay Bay hotel. He called police:… https://t.co/qQPAw8vqxT",Tue Oct 03 15:40:01 +0000 2017,8,0.0,0.0,1.0,0.0
109,CBSNews,"House Speaker Paul Ryan says mental health reform is a ""critical ingredient"" in stopping mass shootings:… https://t.co/cZhVheFEZA",Tue Oct 03 15:25:01 +0000 2017,9,-0.4404,0.0,0.782,0.218
110,CBSNews,"Iraq's first post-Saddam president, Jalal Talabani, has died at 83, Kurdish officials say:
https://t.co/m2wD2RlqxF https://t.co/ROVugsbpkM",Tue Oct 03 15:00:08 +0000 2017,10,-0.5574,0.0,0.795,0.205
111,CBSNews,"Marine veteran saved shooting victims by stealing a truck, loading dozens of people in, and speeding to the hospita… https://t.co/TQ1nQJL51k",Tue Oct 03 14:45:31 +0000 2017,11,-0.4939,0.113,0.645,0.242
112,CBSNews,NEW: Country music star Jason Aldean tweets message in response to the shooting attack at his Las Vegas concert… https://t.co/jxrUT6wcaf,Tue Oct 03 14:35:09 +0000 2017,12,-0.4767,0.0,0.86,0.14
113,CBSNews,"“Mental health reform is a critical ingredient to making sure we can try and prevent these things from happening,""… https://t.co/LXVhzDpTF0",Tue Oct 03 14:17:15 +0000 2017,13,0.0258,0.157,0.737,0.106
114,CBSNews,"MORE: In prepared statement, former Equifax CEO says he is ""deeply sorry"" for massive data breach… https://t.co/rddmcYY3pS",Tue Oct 03 14:15:12 +0000 2017,14,0.3142,0.148,0.771,0.082
115,CBSNews,"""We will have better days in the future because our country is resilient and we will overcome this,"" Ryan says… https://t.co/NbjTXSfgnJ",Tue Oct 03 14:14:49 +0000 2017,15,0.4404,0.127,0.873,0.0
116,CBSNews,"""We cannot let the actions of a single person define us as a country. It is not who we are,"" Paul Ryan says… https://t.co/2YRy2wXUSK",Tue Oct 03 14:13:31 +0000 2017,16,0.0,0.0,1.0,0.0
117,CBSNews,"""We need to find that we are stronger and we cannot allow this terror to win,"" Rep. Kevin McCarthy says on Vegas sh… https://t.co/jAmyFN1IIB",Tue Oct 03 14:12:10 +0000 2017,17,-0.4707,0.089,0.718,0.194
118,CBSNews,Former Equifax CEO testifies before Congress to explain how breach happened https://t.co/SA6ytTxIi2 https://t.co/ouxIEA3pzW,Tue Oct 03 14:11:02 +0000 2017,18,0.0,0.0,1.0,0.0
119,CBSNews,"The newest U.S. Ambassador to Russia, Jon Huntsman, had his first formal meeting with Russian Pres. Vladmir Putin:… https://t.co/7SKSdRS3Pk",Tue Oct 03 14:10:02 +0000 2017,19,0.0,0.0,1.0,0.0
120,CBSNews,"""Jennifer and I pray for the people that were involved in the Nevada shooting,"" Rep. Scalise says, urging people to… https://t.co/gGZ07DsjLm",Tue Oct 03 14:07:14 +0000 2017,20,0.3182,0.108,0.892,0.0
121,CBSNews,WATCH LIVE: House GOP holds press conference as Majority Whip Steve Scalise returns to work https://t.co/T5uqoA85rO https://t.co/hOvRs6Ap95,Tue Oct 03 14:04:47 +0000 2017,21,0.0,0.0,1.0,0.0
122,CBSNews,"A report on the almost 3-year search for MH370 says the continuing mystery over its fate is ""almost inconceivable""… https://t.co/pa6KLTxf67",Tue Oct 03 13:55:02 +0000 2017,22,0.0,0.0,1.0,0.0
123,CBSNews,The Nobel Physics Prize 2017 has been awarded to three scientists for their work in discovering gravitational waves… https://t.co/GPMKICSO4A,Tue Oct 03 13:40:07 +0000 2017,23,0.7184,0.261,0.739,0.0
124,CBSNews,"""The police department has done such an incredible job. We'll be talking about gun laws as time goes by,"" Pres. Tru… https://t.co/GxRWO5JH67",Tue Oct 03 13:28:49 +0000 2017,24,-0.34,0.0,0.897,0.103
125,CBSNews,"San Juan Mayor Carmen Yulín Cruz will attend Pres. Trump's hurricane briefing, White House press secretary confirms… https://t.co/GUjhm29gyY",Tue Oct 03 13:15:02 +0000 2017,25,0.0,0.0,1.0,0.0
126,CBSNews,"RT @DavidBegnaud: .@POTUS has boarded Air Force One and departed for Puerto Rico
(📸: White House Pool) https://t.co/1O5ehB4PzV",Tue Oct 03 13:04:00 +0000 2017,26,0.0,0.0,1.0,0.0
